last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Castro, Jason,488771,2016,376,207,.210,.218,-0.008,.377,.399,-0.022,.301,.313,-0.012
Cabrera, Asdrúbal,452678,2016,568,420,.280,.249,0.031,.474,.415,0.059,.345,.312,0.033
Pagán, Ángel,434636,2016,543,435,.277,.278,-0.001,.418,.380,0.038,.322,.312,0.010
Span, Denard,452655,2016,637,501,.266,.270,-0.004,.381,.373,0.008,.312,.312,-0.000
Alonso, Yonder,475174,2016,532,412,.253,.256,-0.003,.367,.393,-0.026,.299,.312,-0.013
Frazier, Todd,453943,2016,666,435,.225,.217,0.008,.464,.423,0.041,.326,.312,0.014
Odor, Rougned,596059,2016,632,474,.271,.246,0.025,.502,.446,0.056,.336,.311,0.025
Cabrera, Melky,466320,2016,646,530,.296,.273,0.023,.455,.379,0.076,.342,.310,0.032
Schebler, Scott,594988,2016,282,198,.265,.253,0.012,.432,.391,0.041,.328,.310,0.018
Utley, Chase,400284,2016,565,399,.252,.255,-0.003,.396,.383,0.013,.312,.310,0.002
Vogt, Stephen,519390,2016,532,410,.251,.256,-0.005,.406,.406,0.000,.305,.310,-0.005
Russell, Addison,608365,2016,598,396,.238,.229,0.009,.417,.406,0.011,.316,.310,0.006
Smolinski, Jake,519295,2016,319,249,.238,.259,-0.021,.345,.386,-0.041,.284,.310,-0.026
Nieuwenhuis, Kirk,543590,2016,392,202,.209,.200,0.009,.385,.379,0.006,.313,.310,0.003
Escobar, Yunel,488862,2016,567,457,.304,.273,0.031,.391,.374,0.017,.327,.309,0.018
Orlando, Paulo,449181,2016,484,359,.302,.275,0.027,.405,.402,0.003,.316,.309,0.007
Gardner, Brett,458731,2016,634,450,.261,.250,0.011,.362,.343,0.019,.317,.309,0.008
Panik, Joe,605412,2016,526,425,.239,.247,-0.008,.379,.381,-0.002,.300,.309,-0.009
Zimmerman, Ryan,475582,2016,467,329,.218,.241,-0.023,.370,.407,-0.037,.277,.309,-0.032
Villar, Jonathan,542340,2016,679,424,.285,.235,0.050,.457,.366,0.091,.356,.308,0.048
Holt, Brock,571788,2016,324,236,.255,.259,-0.004,.383,.358,0.025,.308,.308,0.000
Iannetta, Chris,455104,2016,338,215,.210,.228,-0.018,.329,.367,-0.038,.282,.308,-0.026
